C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\xml\sax\SAXException.java,69.21,0.16,4.35,4,1.09,3,30,18.66,273.06,0.62,9.1
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\parsers\DOMParser.java,97.5,0.22,0,0,0,1,1,0,0,0,0
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\dom\RangeExceptionImpl.java,79.78,0.18,2.75,2,1.37,18,114,40.44,1468.47,0.35,12.88
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\html\dom\HTMLIFrameElementImpl.java,103,0.23,11.74,12,0.98,18,43,31.18,901.5,0.73,20.97
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\dom\ChildAndParentNode.java,63.76,0.15,3.77,3,1.26,7,114,23.87,1468.47,0.21,12.88
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\validators\datatype\DatatypeValidator.java,75.45,0.17,9.56,10,0.96,10,19,14.59,144.57,0.77,7.61
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\w3c\dom\events\DocumentEvent.java,68.8,0.16,24.92,27,0.92,23,114,46.28,1468.47,0.41,12.88
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\html\dom\HTMLTitleElementImpl.java,84.02,0.19,2.74,2,1.37,3,7,4.16,15.58,0.59,2.23
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\wml\dom\WMLSmallElementImpl.java,91.49,0.21,35.58,35,1.02,36,36,34.61,1237.09,0.96,34.36
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\html\dom\HTMLButtonElementImpl.java,86.28,0.2,6.75,6,1.12,11,43,27.36,901.5,0.64,20.97
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\utils\regex\REUtil.java,55.24,0.13,0,0,0,1,1,0,0,0,0
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\dom\ParentNode.java,63.6,0.14,3.77,3,1.26,7,114,23.61,1468.47,0.21,12.88
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\javax\xml\parsers\DocumentBuilderFactory.java,77.74,0.18,7.24,7,1.03,17,114,37.97,1468.47,0.33,12.88
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\utils\regex\RangeToken.java,29.75,0.07,3.77,3,1.26,4,4,2.77,11.25,0.69,2.81
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\validators\common\CMException.java,45.57,0.1,5.13,5,1.03,5,7,4.78,31.97,0.68,4.57
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\readers\XMLEntityHandler.java,99.42,0.23,0,0,0,1,1,0,0,0,0
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\dom\NamedNodeMapImpl.java,86.32,0.2,6.83,7,0.98,6,114,31.91,1468.47,0.28,12.88
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\wml\dom\WMLStrongElementImpl.java,91.48,0.21,35.6,35,1.02,36,36,34.57,1237.09,0.96,34.36
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\utils\Base64.java,28.85,0.07,1.86,1,1.86,2,3,1.63,3.64,0.54,1.21
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\xml\sax\Attributes.java,104.15,0.24,3.78,3,1.26,3,30,14.35,273.06,0.48,9.1
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\readers\CharReader.java,25.96,0.06,1.95,1,1.95,2,3,1.7,3.64,0.57,1.21
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\framework\XMLDocumentHandler.java,88.08,0.2,0,0,0,1,1,0,0,0,0
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\html\dom\HTMLObjectElementImpl.java,100.1,0.23,9.9,10,0.99,19,43,28.15,901.5,0.65,20.97
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\wml\WMLCardElement.java,80.27,0.18,20.59,22,0.94,32,38,29.33,1047.71,0.77,27.57
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\readers\DefaultReaderFactory.java,43.23,0.1,5.44,5,1.09,4,7,5.23,18.64,0.75,2.66
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\w3c\dom\NamedNodeMap.java,92.14,0.21,23.87,26,0.92,24,114,54.99,1468.47,0.48,12.88
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\validators\common\XMLElementDecl.java,72.17,0.16,1.96,1,1.96,2,2,0.96,1.92,0.48,0.96
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\html\dom\HTMLOListElementImpl.java,110.64,0.25,29.38,31,0.95,29,43,35.56,901.5,0.83,20.97
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\validators\schema\XUtil.java,66.93,0.15,6.05,6,1.01,6,114,27.48,1468.47,0.24,12.88
C:\Users\sherlock\Apach\xerces-1.2.0-src\xerces-1.2.0\src\org\apache\xerces\readers\UTF8Recognizer.java,40.85,0.09,2.73,2,1.37,3,7,4.65,18.64,0.66,2.66
